FoodItem,FoodCategory,Calorie
"Pâté (720), Pate",Veg,319
Peanut Butter,Veg,589
Peter Pan Peanut Butter,Veg,609
Philadelphia Cream  Veg,Veg,342
Plum Jam,Veg,250
Salted Butter,Veg,717
Skippy Peanut Butter,Veg,594
Smuckers Strawberry Jam,Veg,250
Strawberry Jam,Veg,250
Strawberry Jelly,Veg,250
Sunbutter,Veg,617
Sunflower Butter,Veg,617
Tapenade,Veg,233
Unsalted Butter,Veg,717
Vegemite,Veg,180
Wild Honey,Veg,286
