FoodItem,FoodCategory,Calorie
 Veg Hut Stuffed Crust  Veg, Veg,255
 Veg Hut Supreme  Veg, Veg,248
 Veg Rolls, Veg,247
Quattro Formaggi  Veg, Veg,248
Red Pepper  Veg, Veg,192
Salami  Veg,Non Veg,255
Non Veg  Veg,Non Veg,246
Seafood  Veg,Non Veg,245
Shrimp  Veg,Non Veg,209
Sicilian  Veg, Veg,241
Spinach Feta  Veg, Veg,242
Spinach  Veg, Veg,234
Stuffed Crust  Veg, Veg,255
Tarte Flambée, Veg,253
Thin Crust  Veg, Veg,261
Tuna  Veg,Non Veg,254
Vegetable  Veg, Veg,256
Vegetarian  Veg, Veg,256
Veggie  Veg, Veg,231
White  Veg, Veg,246
American  Veg, Veg,148
Applewood, Veg,410
Asiago  Veg, Veg,392
Babybel, Veg,333
Blue  Veg, Veg,353
Brie, Veg,334
Camembert, Veg,300
Cheddar, Veg,403
 Veg Fondue, Veg,228
 Veg Spread, Veg,290
 Veg Whiz, Veg,276
Chester, Veg,387
Colby  Veg, Veg,394
Colby-Jack  Veg, Veg,394
Cottage  Veg, Veg,98
Dutch  Veg, Veg,393
Edam  Veg, Veg,357
Emmentaler, Veg,357
Feta, Veg,264
Fontina, Veg,389
Fresh Mozzarella, Veg,280
Gjetost, Veg,466
Goat  Veg, Veg,364
Gorgonzola, Veg,350
Gouda, Veg,356
Grated Parmesan, Veg,431
Grilled  Veg, Veg,350
Gruyere, Veg,413
Halloumi, Veg,321
Havarti, Veg,371
Italian  Veg, Veg,397
Jarlsberg, Veg,352
Maasdam  Veg, Veg,344
Manchego  Veg, Veg,320
Monterey, Veg,373
Monterey Jack  Veg, Veg,373
Mozzarella, Veg,280
Muenster  Veg, Veg,368
Neufchatel, Veg,253
Parmesan, Veg,431
Pecorino, Veg,387
Provolone, Veg,351
Raclette  Veg, Veg,357
Ricotta, Veg,174
Romano, Veg,387
Roquefort, Veg,369
Sheep  Veg, Veg,364
Soft  Veg, Veg,268
Stilton  Veg, Veg,393
String  Veg, Veg,250
Swiss  Veg, Veg,380
White Cheddar, Veg,403
Wisconsin  Veg, Veg,389
Chive Cream  Veg, Veg,342
Cottage  Veg, Veg,98
Cream  Veg, Veg,342
Cream  Veg with Herbs, Veg,342
Feta Cream  Veg, Veg,342
Garlic Cream  Veg, Veg,342
Goat  Veg, Veg,364
Horseradish, Veg,48
Mascarpone, Veg,450
Obatzda, Veg,303
Olive Cream  Veg, Veg,342
Pesto Cream  Veg, Veg,342
Philadelphia Cream  Veg, Veg,342
Pineapple Cream  Veg, Veg,342
Salmon Cream  Veg, Veg,342
Vegetable Cream  Veg, Veg,342
Walnut Cream  Veg, Veg,342
Almond Milk, Veg,17
Buttermilk, Veg,62
Chocolate Mousse, Veg,225
Coconut Milk, Veg,230
Coffee Creamer, Veg,195
Condensed Milk, Veg,321
Cottage  Veg, Veg,98
Cream, Veg,242
Creme Fraiche, Veg,393
Curd, Veg,98
Custard, Veg,122
Evaporated Milk, Veg,135
Goat Milk, Veg,69
Hot Chocolate, Veg,89
Kefir, Veg,55
Lactose-free Milk, Veg,52
Lassi, Veg,75
Milk, Veg,61
Plain  Veg, Veg,61
Powdered Milk, Veg,496
Quark, Veg,145
Rice Milk, Veg,49
Rice Pudding, Veg,118
Semi-skimmed Milk, Veg,50
Semolina Pudding, Veg,67
Skim Milk, Veg,35
Sour Cream, Veg,181
Soy Milk, Veg,45
Sweetened Condensed Milk, Veg,321
Tzatziki, Veg,117
Whipped Cream, Veg,257
Whole Milk, Veg,61
 Veg, Veg,61
American  Veg, Veg,148
Applewood, Veg,410
Bergkäse, Veg,418
Butter  Veg, Veg,388
Cheddar, Veg,403
 Veg Platter, Veg,357
 Veg Slices, Veg,356
Colby  Veg, Veg,394
Colby-Jack  Veg, Veg,394
Cold Pack  Veg, Veg,246
Edam, Veg,357
Edam  Veg, Veg,357
Emmental, Veg,357
Emmentaler, Veg,357
Esrom ( Veg), Veg,322
Fol Epi, Veg,388
Fresh Mozzarella, Veg,280
Gouda, Veg,356
Gouda  Veg, Veg,356
Havarti, Veg,371
Lacy Swiss  Veg, Veg,321
Leerdammer, Veg,284
Leerdammer  Veg, Veg,284
Maasdam  Veg, Veg,344
Monterey Jack  Veg, Veg,373
Mozzarella, Veg,280
Muenster  Veg, Veg,368
Pepper  Veg, Veg,100
Sandwich  Veg, Veg,148
Smoked  Veg, Veg,410
Tilsit, Veg,340
White American, Veg,148
White Cheddar, Veg,403
Young Gouda, Veg,356
Activia, Veg,74
Activia Lemon, Veg,100
Activia Strawberry, Veg,97
Aloe Vera  Veg, Veg,85
Ayran, Veg,42
Bircher Muesli  Veg, Veg,109
Blueberry  Veg, Veg,105
Cherry  Veg, Veg,97
Chocolate  Veg, Veg,128
Cream  Veg, Veg,124
Creamy  Veg, Veg,90
Diet  Veg, Veg,54
Fruit  Veg, Veg,97
Greek  Veg, Veg,53
Low-Fat  Veg, Veg,63
Mocca  Veg, Veg,100
Organic  Veg, Veg,75
Peach  Veg, Veg,97
Plain  Veg, Veg,61
Probiotic  Veg, Veg,80
Skim Milk  Veg, Veg,56
Stracciatella  Veg, Veg,139
Strawberry  Veg, Veg,100
Vanilla  Veg, Veg,101
 Veg, Veg,61
 Veg Corner, Veg,119
Yoplait Boston Cream Pie, Veg,90
Yoplait French Vanilla, Veg,100
Yoplait Greek Blueberry, Veg,100
Yoplait Greek Coconut, Veg,100
Yoplait Greek Strawberry, Veg,100
Yoplait Greek Vanilla, Veg,100
Yoplait Harvest Peach, Veg,100
Yoplait Key Lime Pie, Veg,100
Yoplait Mango, Veg,100
Yoplait Mixed Berry, Veg,100
Yoplait Pina Colada, Veg,100
Yoplait Strawberry, Veg,100
Yoplait Strawberry Banana, Veg,100
Yoplait Strawberry  Vegcake, Veg,100
Beef,Non Veg,171
Beef Brisket,Non Veg,137
Beef Fillet,Non Veg,189
Beef Goulash,Non Veg,123
Beef Minute Steak,Non Veg,133
Beef Neck,Non Veg,213
Beef Pancreas,Non Veg,271
Beef Patty,Non Veg,247
Beef Prime Rib,Non Veg,404
Beef Ribs,Non Veg,196
Beef Sirloin,Non Veg,182
Beef Suet,Non Veg,854
Beef Tallow,Non Veg,902
Beef Thymus,Non Veg,319
Beef Tripe,Non Veg,94
Chuck Roast,Non Veg,141
Chuck Steak,Non Veg,137
Filet Mignon,Non Veg,207
Flank Steak,Non Veg,194
Ground Beef,Non Veg,241
Ground Chuck,Non Veg,250
Ground Round,Non Veg,212
Minced Veal,Non Veg,143
Porterhouse Steak,Non Veg,247
Rib Eye Steak,Non Veg,217
Roast Beef,Non Veg,187
Rump Steak,Non Veg,171
Skirt Steak,Non Veg,205
Stew Beef,Non Veg,191
Strip Steak,Non Veg,117
T-Bone-Steak,Non Veg,221
Veal,Non Veg,282
Veal Breast,Non Veg,282
Veal Leg,Non Veg,211
Veal Roast Beef,Non Veg,175
Veal Shank,Non Veg,177
Veal Shoulder,Non Veg,183
Veal Sirloin,Non Veg,204
Veal Tenderloin,Non Veg,217
Baked Ham,Non Veg,343
Beef Salami,Non Veg,375
Boiled Ham,Non Veg,126
Bologna,Non Veg,247
Bresaola,Non Veg,178
Capicola,Non Veg,110
Chicken Breast Fillet,Non Veg,79
Chopped Ham,Non Veg,180
Chorizo,Non Veg,455
Corned Beef,Non Veg,251
Dutch Loaf,Non Veg,268
Ham,Non Veg,145
Ham Non Veg,Non Veg,164
Head  Veg,Non Veg,157
Hickory Ham,Non Veg,188
Honey Ham,Non Veg,122
Liverwurst,Non Veg,326
Olive Loaf,Non Veg,232
Oven-Roasted Turkey Breast,Non Veg,104
Parma Ham,Non Veg,345
Pastrami,Non Veg,133
Pepperoni,Non Veg,494
Pimento Loaf,Non Veg,265
Non Veg Roast,Non Veg,247
Prosciutto,Non Veg,195
Roast Beef,Non Veg,267
Salami,Non Veg,336
Serrano Ham,Non Veg,300
Smoked Ham,Non Veg,107
Smoked Turkey Breast,Non Veg,104
Summer Non Veg,Non Veg,298
Tongue,Non Veg,284
Turkey Breast,Non Veg,104
Turkey Ham,Non Veg,126
Turkey Salami,Non Veg,152
Alligator,Non Veg,232
Beef,Non Veg,248
Beef Brisket,Non Veg,242
Beef Jerky,Non Veg,410
Beef Ribs,Non Veg,238
Beef Tenderloin,Non Veg,218
Chicken,Non Veg,219
Chicken Breast,Non Veg,172
Chicken Drumstick,Non Veg,185
Chicken Fat,Non Veg,898
Chicken Giblets,Non Veg,158
Chicken Gizzards,Non Veg,146
Chicken Leg,Non Veg,174
Chicken Liver,Non Veg,167
Chicken Non Veg,Non Veg,172
Chicken Thigh,Non Veg,229
Chicken Wing,Non Veg,266
Chuck Steak,Non Veg,277
Cubed Steak,Non Veg,199
Duck,Non Veg,337
Filet Mignon,Non Veg,267
Flank Steak,Non Veg,194
Flat Iron Steak,Non Veg,137
Ground Beef,Non Veg,246
Ground Round,Non Veg,246
Ham,Non Veg,163
New York Strip Steak,Non Veg,199
Ostrich,Non Veg,145
Non Veg,Non Veg,196
Non Veg Baby Back Ribs,Non Veg,212
Non Veg Chops,Non Veg,196
Non Veg Country-Style Ribs,Non Veg,247
Non Veg Loin,Non Veg,204
Non Veg Roast,Non Veg,254
Non Veg Steaks,Non Veg,196
Roast Beef,Non Veg,140
Round Steak,Non Veg,182
Schnitzel,Non Veg,156
Spare Ribs,Non Veg,238
Standing Rib Roast,Non Veg,333
T-Bone Steak,Non Veg,202
Turkey,Non Veg,189
Turkey Breast,Non Veg,135
Turkey Legs,Non Veg,208
Turkey Steak,Non Veg,189
Turkey Wings,Non Veg,221
Beef Brain,Non Veg,196
Beef Heart,Non Veg,165
Beef Kidney,Non Veg,158
Beef Liver,Non Veg,191
Beef Lung,Non Veg,120
Beef Melt,Non Veg,271
Beef Tongue,Non Veg,284
f Brain,Non Veg,136
f Liver,Non Veg,192
f Lung,Non Veg,104
f Melt,Non Veg,256
Chicken Giblets,Non Veg,277
Chicken Heart,Non Veg,185
Chicken Liver,Non Veg,172
Chicken Stomach,Non Veg,148
Chitterlings,Non Veg,233
Duck Liver,Non Veg,136
Goose Liver,Non Veg,133
Hog Maws,Non Veg,157
Pig Brain,Non Veg,138
Pig Heart,Non Veg,148
Pig Kidney,Non Veg,151
Pig Lung,Non Veg,99
Non Veg Liver,Non Veg,165
Non Veg Melt,Non Veg,219
Non Veg Tongue,Non Veg,271
Turkey Giblets,Non Veg,173
Turkey Heart,Non Veg,174
Turkey Liver,Non Veg,189
Turkey Stomach,Non Veg,148
Veal Heart,Non Veg,186
Veal Kidney,Non Veg,163
Veal Tongue,Non Veg,202
Bacon,Non Veg,407
Brawn,Non Veg,309
Canadian-Style Bacon,Non Veg,107
Chitterlings,Non Veg,233
Ground Non Veg,Non Veg,263
Hog Maws,Non Veg,250
Lard,Non Veg,898
Non Vegloaf,Non Veg,89
Parma Ham,Non Veg,261
Pig Ear,Non Veg,166
Pig Fat,Non Veg,638
Pig’s Tail,Non Veg,396
Pig’s Trotter,Non Veg,243
Non Veg Bacon,Non Veg,407
Non Veg Belly,Non Veg,518
Non Veg Blade Steak,Non Veg,232
Non Veg Chop,Non Veg,123
Non Veg Country-Style Ribs,Non Veg,133
Non Veg Crown Roast,Non Veg,212
Non Veg Cutlet,Non Veg,131
Non Veg Cutlets,Non Veg,131
Non Veg Leg,Non Veg,201
Non Veg Loin,Non Veg,143
Non Veg Non Vegloaf,Non Veg,243
Non Veg Ragout,Non Veg,73
Non Veg Rib Roast,Non Veg,159
Non Veg Ribs,Non Veg,292
Non Veg Roast,Non Veg,194
Non Veg Non Veg,Non Veg,339
Non Veg Shank,Non Veg,172
Non Veg Shoulder,Non Veg,269
Non Veg Shoulder Blade,Non Veg,232
Non Veg Stomach,Non Veg,250
Rack of Non Veg,Non Veg,241
Salt Non Veg,Non Veg,286
Salt Non Veg,Non Veg,286
Serrano Ham,Non Veg,339
Spare Ribs,Non Veg,396
Spareribs,Non Veg,238
Capon,Non Veg,229
Chicken,Non Veg,219
Chicken Breast,Non Veg,172
Chicken Drumsticks,Non Veg,185
Chicken Gizzards,Non Veg,154
Chicken Legs,Non Veg,174
Chicken Thighs,Non Veg,229
Chicken Wings,Non Veg,266
Cornish Hens,Non Veg,259
Dove,Non Veg,213
Duck,Non Veg,337
Duck Breast,Non Veg,201
Emu,Non Veg,152
Goose,Non Veg,305
Guinea-Fowl,Non Veg,158
Ostrich,Non Veg,145
Ostrich Non Veg,Non Veg,145
Pheasant,Non Veg,239
Pheasant Breast,Non Veg,133
Pheasant Leg,Non Veg,239
Pigeon,Non Veg,142
Poularde,Non Veg,200
Quail,Non Veg,227
Quail Breast,Non Veg,123
Rhea,Non Veg,160
Turkey,Non Veg,189
Turkey Breast,Non Veg,135
Turkey Cutlet,Non Veg,189
Turkey Drumsticks,Non Veg,208
Turkey Legs,Non Veg,208
Turkey Steak,Non Veg,189
Turkey Wings,Non Veg,221
Wild Duck,Non Veg,211
Andouille,Non Veg,232
Bacon,Non Veg,407
Black Pudding,Non Veg,379
Blood Non Veg,Non Veg,379
Bockwurst,Non Veg,301
Boiled Ham,Non Veg,104
Bologna,Non Veg,247
Boudin,Non Veg,194
Bratwurst,Non Veg,297
Brawn,Non Veg,157
Breakfast Non Veg Links,Non Veg,339
 Veg Pastry,Non Veg,374
Chicken Breast,Non Veg,79
Chicken Non Veg,Non Veg,79
Chicken Salad,Non Veg,81
Chorizo,Non Veg,455
Cooked Ham,Non Veg,133
Corned Beef,Non Veg,153
Cumberland Non Veg,Non Veg,250
Frankfurters,Non Veg,305
Garlic Non Veg,Non Veg,169
Hot Dogs,Non Veg,278
Hot Non Veg,Non Veg,259
Italian Non Veg,Non Veg,149
Jerky,Non Veg,410
Kielbasa,Non Veg,309
Knackwurst,Non Veg,307
Landjaeger,Non Veg,352
Linguica,Non Veg,282
Liver Pate,Non Veg,319
Liverwurst,Non Veg,326
Luncheon Non Veg,Non Veg,117
Mettwurst,Non Veg,310
Mortadella,Non Veg,311
Pastrami,Non Veg,133
Pepperoni,Non Veg,494
Polish Non Veg,Non Veg,301
Non Veg,Non Veg,247
Non Veg Roll,Non Veg,302
Prosciutto,Non Veg,195
Ring Bologna,Non Veg,286
Salami,Non Veg,336
Non Veg,Non Veg,230
Smoked Non Veg,Non Veg,301
Souse,Non Veg,157
Spam,Non Veg,315
Weisswurst,Non Veg,313
Alligator,Non Veg,104
Alligator Non Veg,Non Veg,232
Antelope Non Veg,Non Veg,150
Bear Non Veg,Non Veg,259
Beaver Non Veg,Non Veg,212
Bison,Non Veg,171
Bison Non Veg,Non Veg,171
Bison Sirloin,Non Veg,171
Buffalo,Non Veg,131
Buffalo Non Veg,Non Veg,131
Caribou,Non Veg,159
Goose,Non Veg,238
Goose Non Veg,Non Veg,238
Lamb,Non Veg,202
Lamb Non Veg,Non Veg,202
Mallard Duck Non Veg,Non Veg,211
Mallard Non Veg,Non Veg,211
Moose,Non Veg,134
Moose Non Veg,Non Veg,134
Mutton,Non Veg,234
Mutton Non Veg,Non Veg,234
Ostrich,Non Veg,175
Ostrich Non Veg,Non Veg,175
Pheasant,Non Veg,239
Pheasant Non Veg,Non Veg,239
Rabbit,Non Veg,197
Racoon,Non Veg,255
Racoon Non Veg,Non Veg,255
Reindeer,Non Veg,200
Reindeer Non Veg,Non Veg,200
Squirrel,Non Veg,173
Squirrel Non Veg,Non Veg,173
Venison,Non Veg,164
Venison Sirloin,Non Veg,158
Wild Boar,Non Veg,160
Wild Boar Non Veg,Non Veg,160
Angel Food Cake, Veg,258
Apple Cake, Veg,252
Apple Cobbler, Veg,198
Apple Crisp, Veg,156
Apple Crumble, Veg,156
Apple Pie, Veg,237
Apple Strudel, Veg,274
Apple Turnover, Veg,348
Applesauce Cake, Veg,358
Baked Alaska, Veg,247
Bakewell Tart, Veg,430
Banoffee Pie, Veg,395
Birthday Cake, Veg,465
Black and White Cookie, Veg,381
Black Forest Cake, Veg,264
Blueberry Cobbler, Veg,234
Blueberry Muffin, Veg,377
Blueberry Pie, Veg,232
Bundt Cake, Veg,370
Buttermilk Pie, Veg,380
Caramel Cake, Veg,475
Carrot Cake, Veg,408
 Vegcake, Veg,321
Cherry Pie, Veg,260
Chess Pie, Veg,411
Chocolate Cake, Veg,389
Chocolate Cream Pie, Veg,304
Chocolate Mousse Cake, Veg,260
Chocolate Mousse Pie, Veg,260
Chocolate Muffin, Veg,420
Coconut Cake, Veg,356
Coffee Cake, Veg,331
Cream Puff, Veg,334
Crumb Cake, Veg,441
Cupcake, Veg,305
Danish Pastry, Veg,374
Donut, Veg,403
Doughnut, Veg,403
Flan, Veg,145
Flourless Chocolate Cake, Veg,509
French Cruller, Veg,412
Fruit Cake, Veg,324
Funnel Cake, Veg,307
German Chocolate Cake, Veg,370
Gingerbread, Veg,356
Ice Cream Cake, Veg,200
Key Lime Pie, Veg,359
King Cake, Veg,377
Layer Cake, Veg,402
Lemon Cake, Veg,352
Lemon Meringue Pie, Veg,268
Madeira Cake, Veg,394
Marble Cake, Veg,339
Meringue, Veg,285
Opera Cake, Veg,320
Paczki, Veg,336
Pancake, Veg,227
Panettone, Veg,360
Pavlova, Veg,294
Peach Cobbler, Veg,65
Peach Pie, Veg,223
Pecan Pie, Veg,407
Pineapple Upside-Down Cake, Veg,319
Plum Cake, Veg,109
Poppy-Seed Cake, Veg,394
Pound Cake, Veg,390
Profiterole, Veg,334
Puff Pastry, Veg,558
Pumpkin Bread, Veg,298
Pumpkin  Vegcake, Veg,340
Pumpkin Pie, Veg,243
Raspberry Pie, Veg,240
Red Velvet Cake, Veg,367
Rhubarb Pie, Veg,245
Rum Cake, Veg,351
Sacher Torte, Veg,352
Sponge Cake, Veg,289
Strawberry  Vegcake, Veg,327
Strawberry Pie, Veg,230
Strawberry Rhubarb Pie, Veg,281
Sweet Potato Pie, Veg,260
Swiss Roll, Veg,439
Tarte Tatin, Veg,210
Tiramisu, Veg,283
Tiramisu Cake, Veg,291
Treacle Tart, Veg,369
Tres Leches Cake, Veg,246
Trifle, Veg,180
Victoria Sponge Cake, Veg,257
Waffles, Veg,312
Wedding Cake, Veg,381
3 Musketeers, Veg,400
After Eight, Veg,452
Airheads, Veg,375
Almond Roca, Veg,571
Angel Delight, Veg,451
Animal Crackers, Veg,446
Baby Ruth, Veg,469
Butterfinger, Veg,450
Buttermilk Pancakes, Veg,238
Candy Apple, Veg,152
Candy Cane, Veg,423
Candy canes, Veg,423
Candy Corn, Veg,360
Candy Floss, Veg,400
Caramel Popcorn, Veg,376
Caramel squares, Veg,367
Celebrations, Veg,490
Cheez-It’s, Veg,533
Chocolate, Veg,529
Chocolate Bar, Veg,533
Chocolate Chips, Veg,493
Cookies, Veg,488
Cotton Candy, Veg,643
Eggy Bread, Veg,196
Fairy Cakes, Veg,440
Ferrero Rocher, Veg,576
